TOT_POP,0-9,19-Oct,30-39,40-49,50-59,60-69,70-79,80+,White-alone pop,High school diploma only 2014-18,Some college or associate's degree 2014-18,POVALL_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,Heart disease_number,COPD_number,CKD_number,diabetes_number
1.15158426443898,0.8515666515100232,0.8847909217941685,1.0928792326101033,1.1001602542916433,1.4275500118595281,1.412835634123551,1.3190842611951012,1.5331990638769852,1.3071099021643626,1.3857741399403762,1.4056564763144814,0.9584292030226644,1.0605316976658121,1.0455710080005711,1.3587707457144247,1.2189071280810353,1.4320158249063812,1.2202492458708185,1.2850506044259722,1.2774547459223953,1.472307762325761,1.5437201758260912,1.27954346275293,7037
-0.20564398409030288,-0.2826458369031969,-0.2182752212258821,-0.2849709822282899,-0.1827324218866463,-0.11379746543714915,-0.0839245726595598,-0.07084653063556473,-0.08155413788616263,-0.10139228981355336,0.2147225620880318,-0.2377018598062456,-0.2732509112102687,-0.17678065429098053,-0.18548256705024727,0.055550636467015434,-0.18007505002138252,-0.06353552778111417,-0.1951510825203696,-0.07496743876239373,-0.06581900791459498,-0.06085826075139949,-0.012060852333171484,-0.17536162338986563,2946
-0.3424132497069183,-0.4998681744401207,-0.5063910169443344,-0.4153109828751789,-0.4498154790352623,-0.34286421899005587,0.05729209224659516,0.13364222125423472,-0.0973178575977723,-0.3053781426574275,-0.3854943124102031,-0.08668704078115388,-0.28885462440473003,-0.4304884050661826,-0.4423424761967149,-0.09993115530870585,-0.37083023472125076,0.007485854816937636,-0.2949165179418941,-0.226822014431942,-0.22084482715586762,-0.10199434407259855,-0.2537869661498077,-0.12604280691044883,2695
-0.4661697804383056,-0.5701524494773458,-0.5932894829727829,-0.5028994633098883,-0.5425681725220202,-0.4194922587602075,-0.26061595531991794,-0.1934656916419481,-0.2439889888275319,-0.437428170700626,-0.5576844234845589,-0.2176878476462937,-0.44793144073787455,-0.47053613023121016,-0.47421150817469515,-0.34304813881256097,-0.4617610286478982,-0.21262915226041787,-0.43020291027974755,-0.5424126063110997,-0.579242420233875,-0.4170483469208408,-0.4822798985531245,-0.3761596619132055,1843
0.05759279869212233,0.1836464002968934,0.09101073442989521,0.025342491311823492,-0.009072559623487575,0.01861578728567291,-0.008654498450321004,0.06399750140770884,0.45715384878015064,0.163179373515855,0.14431123303994778,0.1667371391662892,-0.26251069303745767,0.16254263866134813,0.17523223327798348,-0.16919122619061805,0.0623793612071646,0.14375973514496845,0.028711120930724136,-0.06585290903303177,0.007284325627554158,-0.030853117622995464,-0.1179263036397275,-0.005094280782355266,2961
0.07139171964333288,-0.22488094835697753,-0.168676560801292,0.039940571384275064,0.06736459982825023,0.2378741517480002,0.36769587259587294,0.3911054143038917,0.43453633788958024,0.1799371508841942,0.21379609723213597,0.20988423031631542,-0.12754870618666242,0.038989994672485866,0.030026150955777674,0.2619173782784273,0.10828805271735802,0.4013083951440408,0.1482762654086518,0.10732315582484536,0.06370564846313728,0.21596338230419893,0.17761474792440804,0.1510819714024646,3540
2.6033446099365753,2.2308955491155658,2.896359356981711,2.2246475262271703,2.345728352608997,2.203638798651624,2.37883948681493,2.0707286046451068,2.3357780109332866,2.8978411328418923,2.265651048796885,2.181654311425344,2.0170499527352086,2.9225885621970358,2.9068795763764816,3.101580284436828,2.6370340894263884,2.265299194739119,2.686543192611212,2.532439101672937,2.693300559075211,2.2785749954212626,2.432989966801162,2.187244537481244,10901
-0.6134847832848245,-0.589700263472074,-0.5743371493146062,-0.6080056398315397,-0.6205698352373901,-0.6154556991324087,-0.620138575636554,-0.6091113068962144,-0.5510388336449725,-0.5616180780269674,-0.5281699002181628,-0.6364225695902227,-0.5681002968978168,-0.6074560554575884,-0.6069056289985039,-0.5762708264761429,-0.6116499973082159,-0.6032467565497028,-0.6198339265945949,-0.6438931292799779,-0.6589335541824387,-0.6522499527338143,-0.6159350308276514,-0.665027015578361,1169
-0.0453704660872444,-0.11022972470250408,-0.07431813365207181,-0.12314083742511249,-0.06941768550643848,-0.005292161122614407,0.04137394966458091,0.10585842344312067,0.41397496435269804,0.06813479380761951,0.1623111216687813,0.08941027400283862,-0.2084043109215983,0.05587498149882184,0.04545569988877868,0.31421579914844266,-0.01954701223619203,0.17927042644399435,-0.03727628970971816,-0.005794668494914605,-0.04393050979005614,-0.00907519115883125,-0.011178640238950184,-0.01566259859937315,3067
-0.7301656394223691,-0.7008372733746863,-0.7120439991926348,-0.6882950802300233,-0.7162280347851789,-0.7219175890530727,-0.7652210751697694,-0.7676641797383053,-0.6908561736957713,-0.6944541181418515,-0.7969770605502279,-0.6242062245055767,-0.8041824510737574,-0.6659040867795206,-0.6603199220320201,-0.7571950932697095,-0.7340824099717914,-0.7468278910439592,-0.7318696042482566,-0.7745889752206502,-0.7275741842234682,-0.8264733644471279,-0.8475157055607427,-0.8094606924109388,694
-0.8098415307300465,-0.7348812190958421,-0.7525697339297999,-0.7441848725074093,-0.7855131793174559,-0.8271534303374143,-0.8939306280471989,-0.9265875032178778,-0.9005821837719696,-0.789498697850087,-0.9199321821398332,-0.8090109341903275,-0.8722713813768613,-0.7880496485328549,-0.7844857103546791,-0.8193878099799979,-0.8170061961456049,-0.9193816473200923,-0.8226415098519078,-0.8792433076488597,-0.8589051729707012,-0.9498816144107252,-0.9516167326788562,-0.9151438705811176,432
